run,Incomplete Information,Mechanism and Pathway Misattribution,Methodological and Evidence Fabrication,Misinterpretation of Question
1,0.2,0.65,0.15,0.0
2,0.35,0.55,0.1,0.0
3,0.25,0.65,0.1,0.0
4,0.4,0.55,0.05,0.0
5,0.2,0.65,0.1,0.05
6,0.3,0.65,0.05,0.0
7,0.3,0.65,0.05,0.0
8,0.15,0.55,0.25,0.05
9,0.3,0.65,0.05,0.0
10,0.25,0.6,0.1,0.05
11,0.3,0.6,0.05,0.05
12,0.5,0.45,0.05,0.0
13,0.3,0.65,0.05,0.0
14,0.3,0.6,0.1,0.0
15,0.15,0.65,0.2,0.0
16,0.25,0.7,0.0,0.05
17,0.45,0.55,0.0,0.0
18,0.3,0.65,0.05,0.0
19,0.35,0.6,0.05,0.0
20,0.35,0.55,0.1,0.0
