question,difficulty,avg_llms_fooled,cluster_size,cosine_similarity,euclidean_distance,rouge_l
Does transcranial magnetic stimulation reveal cortical hyperexcitability in episodic cluster headache?,Easy,1.0,1,0.6765453815460205,0.80430668592453,0.22222222222222218
Does transcranial magnetic stimulation reveal cortical hyperexcitability in episodic cluster headache?,Easy,1.0,1,0.31986087560653687,1.1663097143173218,0.07843137254901962
Does transcranial magnetic stimulation reveal cortical hyperexcitability in episodic cluster headache?,Easy,1.0,1,0.5994030833244324,0.8950943946838379,0.11111111111111109
Does transcranial magnetic stimulation reveal cortical hyperexcitability in episodic cluster headache?,Easy,1.0,1,0.8027690649032593,0.6280620694160461,0.14814814814814814
Does transcranial magnetic stimulation reveal cortical hyperexcitability in episodic cluster headache?,Easy,1.0,1,0.7975436449050903,0.6363275647163391,0.25000000000000006
Does transcranial magnetic stimulation reveal cortical hyperexcitability in episodic cluster headache?,Easy,1.0,1,0.8407544493675232,0.5643501877784729,0.20338983050847456
Does transcranial magnetic stimulation reveal cortical hyperexcitability in episodic cluster headache?,Easy,1.0,1,0.7985317707061768,0.6347728371620178,0.24137931034482765
Does transcranial magnetic stimulation reveal cortical hyperexcitability in episodic cluster headache?,Easy,0.0,1,0.7129372358322144,0.7577108144760132,0.19230769230769232
Does transcranial magnetic stimulation reveal cortical hyperexcitability in episodic cluster headache?,Easy,1.0,1,0.3039763271808624,1.1798505783081055,0.07843137254901962
Does transcranial magnetic stimulation reveal cortical hyperexcitability in episodic cluster headache?,Easy,1.0,1,0.2687881588935852,1.2093071937561035,0.1176470588235294
Does transcranial magnetic stimulation reveal cortical hyperexcitability in episodic cluster headache?,Easy,1.0,1,0.5923936367034912,0.9028912782669067,0.11111111111111109
Does transcranial magnetic stimulation reveal cortical hyperexcitability in episodic cluster headache?,Easy,1.0,1,0.26582270860671997,1.2117568254470825,0.11538461538461539
Does transcranial magnetic stimulation reveal cortical hyperexcitability in episodic cluster headache?,Easy,1.0,1,0.6302701234817505,0.8599185347557068,0.15384615384615385
Does transcranial magnetic stimulation reveal cortical hyperexcitability in episodic cluster headache?,Easy,1.0,1,0.7993585467338562,0.6334689855575562,0.14814814814814814
Does transcranial magnetic stimulation reveal cortical hyperexcitability in episodic cluster headache?,Easy,1.0,1,0.3155840039253235,1.169970989227295,0.11538461538461539
Does transcranial magnetic stimulation reveal cortical hyperexcitability in episodic cluster headache?,Easy,0.0,1,1.0,0.0,1.0
Does early primary repair of tetralogy of Fallot lead to increased postoperative resource utilization?,Hard,3.0,1,0.253714382648468,1.2217082977294922,0.18181818181818182
Does early primary repair of tetralogy of Fallot lead to increased postoperative resource utilization?,Hard,2.25,4,0.2979763448238373,1.1730711460113525,0.18323765786452353
Does early primary repair of tetralogy of Fallot lead to increased postoperative resource utilization?,Hard,3.0,1,0.2568049430847168,1.2191760540008545,0.1875
Does early primary repair of tetralogy of Fallot lead to increased postoperative resource utilization?,Easy,1.0,1,0.675784170627594,0.8052525520324707,0.2898550724637681
Does early primary repair of tetralogy of Fallot lead to increased postoperative resource utilization?,Easy,1.0,1,0.6703613996505737,0.8119588494300842,0.31884057971014496
Does early primary repair of tetralogy of Fallot lead to increased postoperative resource utilization?,Medium,2.0,2,0.2662864029407501,1.2100307941436768,0.1846590909090909
Does early primary repair of tetralogy of Fallot lead to increased postoperative resource utilization?,Medium,2.0,1,0.5897545218467712,0.9058095216751099,0.27692307692307694
Does early primary repair of tetralogy of Fallot lead to increased postoperative resource utilization?,Hard,3.0,1,0.6129800081253052,0.8797954320907593,0.27397260273972607
Does early primary repair of tetralogy of Fallot lead to increased postoperative resource utilization?,Hard,3.0,1,0.4019310772418976,1.0936808586120605,0.18181818181818182
Does early primary repair of tetralogy of Fallot lead to increased postoperative resource utilization?,Easy,1.0,1,0.3055398762226105,1.1785246133804321,0.21538461538461542
Does early primary repair of tetralogy of Fallot lead to increased postoperative resource utilization?,Hard,3.0,1,0.5824046730995178,0.9138876795768738,0.3333333333333333
Does early primary repair of tetralogy of Fallot lead to increased postoperative resource utilization?,Easy,0.0,1,1.0,0.0,1.0
